Initialize Function succeded
Inside GPU 13.250032
Inside GPU 13.300033
Inside GPU 13.350033
Inside GPU 13.400033
Inside GPU 13.450033
Inside GPU 13.500033
Inside GPU 13.550034
Inside GPU 13.600034
Inside GPU 13.650034
Inside GPU 13.700034
Inside GPU 13.750034
Inside GPU 13.800035
Inside GPU 13.850035
Inside GPU 13.900035
Inside GPU 13.950035
Inside GPU 14.000035
Inside GPU 14.050035
Inside GPU 14.100036
Inside GPU 14.150036
Inside GPU 14.200036
Inside GPU 14.250036
Inside GPU 14.300036
Inside GPU 14.350037
Inside GPU 14.400037
Inside GPU 14.450037
Inside GPU 14.500037
Inside GPU 14.550037
Inside GPU 14.600038
Inside GPU 14.650038
Inside GPU 14.700038
Inside GPU 14.750038
Inside GPU 14.800038
Inside GPU 14.850039
Inside GPU 14.900039
Inside GPU 14.950039
Inside GPU 15.000039
Inside GPU 15.050039
Inside GPU 15.100039
Inside GPU 15.150040
Inside GPU 15.200040
Inside GPU 15.250040
Inside GPU 15.300040
Inside GPU 15.350040
Inside GPU 15.400041
Inside GPU 15.450041
Inside GPU 15.500041
Inside GPU 15.550041
Inside GPU 15.600041
Inside GPU 15.650042
Inside GPU 15.700042
Inside GPU 15.750042
Inside GPU 15.800042
Inside GPU 15.850042
Inside GPU 15.900043
Inside GPU 15.950043
Inside GPU 16.000042
Inside GPU 16.050041
Inside GPU 16.100040
Inside GPU 16.150040
Inside GPU 16.200039
Inside GPU 16.250038
Inside GPU 16.300037
Inside GPU 16.350037
Inside GPU 16.400036
Inside GPU 16.450035
Inside GPU 16.500034
Inside GPU 16.550034
Inside GPU 16.600033
Inside GPU 16.650032
Inside GPU 16.700031
Inside GPU 16.750031
Inside GPU 16.800030
Inside GPU 16.850029
Inside GPU 16.900028
Inside GPU 16.950027
Inside GPU 17.000027
Inside GPU 17.050026
Inside GPU 17.100025
Inside GPU 17.150024
Inside GPU 17.200024
Inside GPU 17.250023
Inside GPU 17.300022
Inside GPU 17.350021
Inside GPU 17.400021
Inside GPU 17.450020
Inside GPU 17.500019
Inside GPU 17.550018
Inside GPU 17.600018
Inside GPU 17.650017
Inside GPU 17.700016
Inside GPU 17.750015
Inside GPU 17.800014
Inside GPU 17.850014
Inside GPU 17.900013
Inside GPU 17.950012
Inside GPU 18.000011
Inside GPU 18.050011
Inside GPU 18.100010
Inside GPU 18.150009
Inside GPU 18.200008
Inside GPU 18.250008
Inside GPU 18.300007
Inside GPU 18.350006
Inside GPU 18.400005
Inside GPU 18.450005
Inside GPU 18.500004
Inside GPU 18.550003
Inside GPU 18.600002
Inside GPU 18.650002
Inside GPU 18.700001
Inside GPU 18.750000
Inside GPU 18.799999
Inside GPU 18.849998
Inside GPU 18.899998
Inside GPU 18.949997
Inside GPU 18.999996
Inside GPU 19.049995
Inside GPU 19.099995
Inside GPU 19.149994
Inside GPU 19.199993
Inside GPU 19.249992
Inside GPU 19.299992
Inside GPU 19.349991
Inside GPU 19.399990
Inside GPU 19.449989
Inside GPU 19.499989
Inside GPU 19.549988
Inside GPU 19.599987
Inside GPU 19.649986
Inside GPU 19.699986
Inside GPU 19.749985
Inside GPU 19.799984
Inside GPU 19.849983
Inside GPU 19.899982
Inside GPU 19.949982
Inside GPU 19.999981
Inside GPU 20.049980
Inside GPU 20.099979
Inside GPU 20.149979
Inside GPU 20.199978
Inside GPU 20.249977
Inside GPU 20.299976
Inside GPU 20.349976
Inside GPU 20.399975
Inside GPU 20.449974
Inside GPU 20.499973
Inside GPU 20.549973
Inside GPU 20.599972
Inside GPU 20.649971
Inside GPU 20.699970
Inside GPU 20.749969
Inside GPU 20.799969
Inside GPU 20.849968
Inside GPU 20.899967
Inside GPU 20.949966
Inside GPU 20.999966
Inside GPU 21.049965
Inside GPU 21.099964
Inside GPU 21.149963
Inside GPU 21.199963
Inside GPU 21.249962
Inside GPU 21.299961
Inside GPU 21.349960
Inside GPU 21.399960
Inside GPU 21.449959
Inside GPU 21.499958
Inside GPU 21.549957
Inside GPU 21.599957
Inside GPU 21.649956
Inside GPU 21.699955
Inside GPU 21.749954
Inside GPU 21.799953
Inside GPU 21.849953
Inside GPU 21.899952
Inside GPU 21.949951
Inside GPU 21.999950
Inside GPU 22.049950
Inside GPU 22.099949
Inside GPU 22.149948
Inside GPU 22.199947
Inside GPU 22.249947
Inside GPU 22.299946
Inside GPU 22.349945
Inside GPU 22.399944
Inside GPU 22.449944
Inside GPU 22.499943
Inside GPU 22.549942
Inside GPU 22.599941
Inside GPU 22.649940
Inside GPU 22.699940
Inside GPU 22.749939
Inside GPU 22.799938
Inside GPU 22.849937
Inside GPU 22.899937
Inside GPU 22.949936
Inside GPU 22.999935
Inside GPU 23.049934
Inside GPU 23.099934
Inside GPU 23.149933
Inside GPU 23.199932
Inside GPU 23.249931
Inside GPU 23.299931
Inside GPU 23.349930
Inside GPU 23.399929
Inside GPU 23.449928
Inside GPU 23.499928
Inside GPU 23.549927
Inside GPU 23.599926
Inside GPU 23.649925
Inside GPU 23.699924
Inside GPU 23.749924
Inside GPU 23.799923
Inside GPU 23.849922
Inside GPU 23.899921
Inside GPU 23.949921
Inside GPU 23.999920
Inside GPU 24.049919
Inside GPU 24.099918
Inside GPU 24.149918
Inside GPU 24.199917
Inside GPU 24.249916
Inside GPU 24.299915
Inside GPU 24.349915
Inside GPU 24.399914
Inside GPU 24.449913
Inside GPU 24.499912
Inside GPU 24.549911
Inside GPU 24.599911
Inside GPU 24.649910
Inside GPU 24.699909
Inside GPU 24.749908
Inside GPU 24.799908
Inside GPU 24.849907
Inside GPU 24.899906
Inside GPU 24.949905
Inside GPU 24.999905
Inside GPU 25.049904
Inside GPU 25.099903
Inside GPU 25.149902
Inside GPU 25.199902
Inside GPU 25.249901
Inside GPU 25.299900
Inside GPU 25.349899
Inside GPU 25.399899
Inside GPU 25.449898
Inside GPU 25.499897
Inside GPU 25.549896
Inside GPU 25.599895
Inside GPU 25.649895
Inside GPU 25.699894
Inside GPU 25.749893
Inside GPU 25.799892
Inside GPU 25.849892
Inside GPU 25.899891
Inside GPU 25.949890
Inside GPU 25.999889
Inside GPU 26.049889
Inside GPU 26.099888
Inside GPU 26.149887
Inside GPU 26.199886
Inside GPU 26.249886
Inside GPU 26.299885
Inside GPU 26.349884
Inside GPU 26.399883
Inside GPU 26.449883
Inside GPU 26.499882
Inside GPU 26.549881
Inside GPU 26.599880
Inside GPU 26.649879
Inside GPU 26.699879
Inside GPU 26.749878
Inside GPU 26.799877
Inside GPU 26.849876
Inside GPU 26.899876
Inside GPU 26.949875
Inside GPU 26.999874
Inside GPU 27.049873
Inside GPU 27.099873
Inside GPU 27.149872
Inside GPU 27.199871
Inside GPU 27.249870
Inside GPU 27.299870
Inside GPU 27.349869
Inside GPU 27.399868
Inside GPU 27.449867
Inside GPU 27.499866
Inside GPU 27.549866
Inside GPU 27.599865
Inside GPU 27.649864
Inside GPU 27.699863
Inside GPU 27.749863
Inside GPU 27.799862
Inside GPU 27.849861
Inside GPU 27.899860
Inside GPU 27.949860
Inside GPU 27.999859
Inside GPU 28.049858
Inside GPU 28.099857
Inside GPU 28.149857
Inside GPU 28.199856
Inside GPU 28.249855
Inside GPU 28.299854
Inside GPU 28.349854
Inside GPU 28.399853
Inside GPU 28.449852
Inside GPU 28.499851
Inside GPU 28.549850
Inside GPU 28.599850
Inside GPU 28.649849
Inside GPU 28.699848
Inside GPU 28.749847
Inside GPU 28.799847
Inside GPU 28.849846
Inside GPU 28.899845
Inside GPU 28.949844
Inside GPU 28.999844
Inside GPU 29.049843
Inside GPU 29.099842
Inside GPU 29.149841
Inside GPU 29.199841
Inside GPU 29.249840
Inside GPU 29.299839
Inside GPU 29.349838
Inside GPU 29.399837
Inside GPU 29.449837
Inside GPU 29.499836
Inside GPU 29.549835
Inside GPU 29.599834
Inside GPU 29.649834
Inside GPU 29.699833
Inside GPU 29.749832
Inside GPU 29.799831
Inside GPU 29.849831
Inside GPU 29.899830
Inside GPU 29.949829
Inside GPU 29.999828
Inside GPU 30.049828
Inside GPU 30.099827
Inside GPU 30.149826
Inside GPU 30.199825
Inside GPU 30.249825
Inside GPU 30.299824
Inside GPU 30.349823
Inside GPU 30.399822
Inside GPU 30.449821
Inside GPU 30.499821
Inside GPU 30.549820
Inside GPU 30.599819
Inside GPU 30.649818
Inside GPU 30.699818
Inside GPU 30.749817
Inside GPU 30.799816
Inside GPU 30.849815
Inside GPU 30.899815
Inside GPU 30.949814
Inside GPU 30.999813
Inside GPU 31.049812
Inside GPU 31.099812
Inside GPU 31.149811
Inside GPU 31.199810
Inside GPU 31.249809
Inside GPU 31.299809
Inside GPU 31.349808
Inside GPU 31.399807
Inside GPU 31.449806
Inside GPU 31.499805
Inside GPU 31.549805
Inside GPU 31.599804
Inside GPU 31.649803
Inside GPU 31.699802
Inside GPU 31.749802
Inside GPU 31.799801
Inside GPU 31.849800
Inside GPU 31.899799
Inside GPU 31.949799
Inside GPU 31.999798
Inside GPU 32.049797
Inside GPU 32.099796
Inside GPU 32.149796
Inside GPU 32.199795
Inside GPU 32.249794
Inside GPU 32.299793
Inside GPU 32.349792
Inside GPU 32.399792
Inside GPU 32.449791
Inside GPU 32.499790
Inside GPU 32.549789
Inside GPU 32.599789
Inside GPU 32.649788
Inside GPU 32.699787
Inside GPU 32.749786
Inside GPU 32.799786
Inside GPU 32.849785
Inside GPU 32.899784
Inside GPU 32.949783
Inside GPU 32.999783
Inside GPU 33.049782
Inside GPU 33.099781
Inside GPU 33.149780
Inside GPU 33.199780
Inside GPU 33.249779
Inside GPU 33.299778
Inside GPU 33.349777
Inside GPU 33.399776
Inside GPU 33.449776
Inside GPU 33.499775
Inside GPU 33.549774
Inside GPU 33.599773
Inside GPU 33.649773
Inside GPU 33.699772
Inside GPU 33.749771
Inside GPU 33.799770
Inside GPU 33.849770
Inside GPU 33.899769
Inside GPU 33.949768
Inside GPU 33.999767
Inside GPU 34.049767
Inside GPU 34.099766
Inside GPU 34.149765
Inside GPU 34.199764
Inside GPU 34.249763
Inside GPU 34.299763
Inside GPU 34.349762
Inside GPU 34.399761
Inside GPU 34.449760
Inside GPU 34.499760
Inside GPU 34.549759
Inside GPU 34.599758
Inside GPU 34.649757
Inside GPU 34.699757
Inside GPU 34.749756
Inside GPU 34.799755
Inside GPU 34.849754
Inside GPU 34.899754
Inside GPU 34.949753
Inside GPU 34.999752
Inside GPU 35.049751
Inside GPU 35.099751
Inside GPU 35.149750
Inside GPU 35.199749
Inside GPU 35.249748
Inside GPU 35.299747
Inside GPU 35.349747
Inside GPU 35.399746
Inside GPU 35.449745
Inside GPU 35.499744
Inside GPU 35.549744
Inside GPU 35.599743
Inside GPU 35.649742
Inside GPU 35.699741
Inside GPU 35.749741
Inside GPU 35.799740
Inside GPU 35.849739
Inside GPU 35.899738
Inside GPU 35.949738
Inside GPU 35.999737
Inside GPU 36.049736
Inside GPU 36.099735
Inside GPU 36.149734
Inside GPU 36.199734
Inside GPU 36.249733
Inside GPU 36.299732
Inside GPU 36.349731
Inside GPU 36.399731
Inside GPU 36.449730
Inside GPU 36.499729
Inside GPU 36.549728
Inside GPU 36.599728
Inside GPU 36.649727
Inside GPU 36.699726
Inside GPU 36.749725
Inside GPU 36.799725
Inside GPU 36.849724
Inside GPU 36.899723
Inside GPU 36.949722
Inside GPU 36.999722
Inside CPU 37.049721
Inside CPU 37.099720
Inside CPU 37.149719
Inside CPU 37.199718
Inside CPU 37.249718
Inside CPU 37.299717
Inside CPU 37.349716
Inside CPU 37.399715
Inside CPU 37.449715
Inside CPU 37.499714
Inside CPU 37.549713
Inside CPU 37.599712
Inside CPU 37.649712
Inside CPU 37.699711
Inside GPU 37.749710
Inside GPU 37.799709
Inside GPU 37.849709
Inside GPU 37.899708
Inside GPU 37.949707
Inside GPU 37.999706
Inside GPU 38.049706
Inside GPU 38.099705
Inside GPU 38.149704
Inside GPU 38.199703
Inside GPU 38.249702
Inside GPU 38.299702
Inside GPU 38.349701
Inside GPU 38.399700
Inside GPU 38.449699
Inside GPU 38.499699
Inside GPU 38.549698
Inside GPU 38.599697
Inside GPU 38.649696
Inside GPU 38.699696
Inside GPU 38.749695
Inside GPU 38.799694
Inside GPU 38.849693
Inside GPU 38.899693
Inside GPU 38.949692
Inside GPU 38.999691
Inside GPU 39.049690
Inside GPU 39.099689
Inside GPU 39.149689
Inside GPU 39.199688
Inside GPU 39.249687
Inside GPU 39.299686
Inside GPU 39.349686
Inside GPU 39.399685
Inside GPU 39.449684
Inside GPU 39.499683
Inside GPU 39.549683
Inside GPU 39.599682
Inside GPU 39.649681
Inside GPU 39.699680
Inside GPU 39.749680
Inside GPU 39.799679
Inside GPU 39.849678
Inside GPU 39.899677
Inside GPU 39.949677
Inside GPU 39.999676
Inside GPU 40.049675
Inside GPU 40.099674
Inside GPU 40.149673
Inside GPU 40.199673
Inside GPU 40.249672
Inside GPU 40.299671
Inside GPU 40.349670
Inside GPU 40.399670
Inside GPU 40.449669
Inside GPU 40.499668
Inside GPU 40.549667
Inside GPU 40.599667
Inside GPU 40.649666
Inside GPU 40.699665
Inside GPU 40.749664
Inside GPU 40.799664
Inside GPU 40.849663
Inside GPU 40.899662
Inside GPU 40.949661
Inside GPU 40.999660
Inside GPU 41.049660
Inside GPU 41.099659
Inside GPU 41.149658
Inside GPU 41.199657
Inside GPU 41.249657
Inside GPU 41.299656
Inside GPU 41.349655
Inside GPU 41.399654
Inside GPU 41.449654
Inside GPU 41.499653
Inside GPU 41.549652
Inside GPU 41.599651
Inside GPU 41.649651
Inside GPU 41.699650
Inside GPU 41.749649
Inside GPU 41.799648
Inside GPU 41.849648
Inside GPU 41.899647
Inside GPU 41.949646
Inside GPU 41.999645
Inside GPU 42.049644
Inside GPU 42.099644
Inside GPU 42.149643
Inside GPU 42.199642
Inside GPU 42.249641
Inside GPU 42.299641
Inside GPU 42.349640
Inside GPU 42.399639
Inside GPU 42.449638
Inside GPU 42.499638
Inside GPU 42.549637
Inside GPU 42.599636
Inside GPU 42.649635
Inside GPU 42.699635
Inside GPU 42.749634
Inside GPU 42.799633
Inside GPU 42.849632
Inside GPU 42.899632
Inside GPU 42.949631
Inside GPU 42.999630
Inside GPU 43.049629
Inside GPU 43.099628
Inside GPU 43.149628
Inside GPU 43.199627
Inside GPU 43.249626
Inside GPU 43.299625
Inside GPU 43.349625
Inside GPU 43.399624
Inside GPU 43.449623
Inside GPU 43.499622
Inside GPU 43.549622
Inside GPU 43.599621
Inside GPU 43.649620
Inside GPU 43.699619
Inside GPU 43.749619
Inside GPU 43.799618
Inside GPU 43.849617
Inside GPU 43.899616
Inside GPU 43.949615
Inside GPU 43.999615
Inside GPU 44.049614
Inside GPU 44.099613
Inside GPU 44.149612
Inside GPU 44.199612
Inside GPU 44.249611
Inside GPU 44.299610
Inside GPU 44.349609
Inside GPU 44.399609
Inside GPU 44.449608
Inside GPU 44.499607
Inside GPU 44.549606
Inside GPU 44.599606
Inside GPU 44.649605
Inside GPU 44.699604
Inside GPU 44.749603
Inside GPU 44.799603
Inside GPU 44.849602
Inside GPU 44.899601
Inside GPU 44.949600
Inside GPU 44.999599
Inside GPU 45.049599
Inside GPU 45.099598
Inside GPU 45.149597
Inside GPU 45.199596
Inside GPU 45.249596
Inside GPU 45.299595
Inside GPU 45.349594
Inside GPU 45.399593
Inside GPU 45.449593
Inside GPU 45.499592
Inside GPU 45.549591
Inside GPU 45.599590
Inside CPU 45.649590
Inside CPU 45.699589
Inside CPU 45.749588
Inside CPU 45.799587
Inside CPU 45.849586Log File closed successfully
